,Afghanistan,Albania,Algeria,Angola,antiguaAndBarbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,bosniaAndHerzegovina,Botswana,Brazil,Brunei,Bulgaria,burkinaFaso,Burundi,caboVerde,Cambodia,Cameroon,Canada,centralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,DRC,Congo,costaRica,Cote,Croatia,Cyprus,czechRepublic,Denmark,Djibouti,Dominica,dominicanRepublic,Ecuador,Egypt,elSalvador,equatorialGuinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,hongKong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyzstan,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,marshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,newZealand,Nicaragua,Niger,Nigeria,northMacedonia,Norway,Oman,Pakistan,Palau,Panama,papuaNewGuinea,Paraguay,Peru,Philippines,Poland,Portugal,puertoRico,Qatar,Romania,Russia,Rwanda,Samoa,sanMarino,saoTome,saudiArabia,Senegal,Serbia,Seychelles,sierraLeone,Singapore,Slovakia,Slovenia,solomonIslands,Somalia,southAfrica,southSudan,Spain,sriLanka,stKitts,stLucia,stVincent,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,trinidadAndTobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UAE,UK,US,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1999,,28.266,29.948,41.128,18.785,22.426,19.334,22.884,36.967,47.687,18.472,11.073,23.164,8.466,26.908,47.172,49.518,23.316,12.69,40.505,25.528,54.721,,34.401,29.358,36.646,20.365,17.452,25.399,10.004,,43.429,17.7,11.441,21.819,12.6,22.961,11.009,0.799,26.951,13.888,17.14,43.677,30.267,38.231,55.402,18.34,26.026,12.527,18.473,28.387,15.482,18.495,46.32,37.244,23.837,18.27,24.228,51.507,51.027,26.611,,15.397,46.493,5.894,40.361,22.041,12.253,9.439,11.525,23.11,8.485,24.702,17.839,43.434,42.184,16.853,14.181,18.463,,36.386,,45.563,25.171,29.285,30.941,17.538,18.915,84.755,17.785,,60.074,22.359,,35.863,18.859,35.319,,33.695,31.183,45.071,,15.01,,21.64,24.95,,,59.924,18.532,,16.456,67.886,25.312,19.929,,23.417,18.73,14.813,31.402,,,42.898,38.072,,14.129,19.049,32.537,51.879,39.425,12.691,,22.732,19.064,22.301,,19.05,40.18,39.534,,34.55,31.535,30.669,21.306,34.957,,,24.323,14.177,,45.862,,21.088,40.581,39.922,20.028,,,,39.568,15.429,23.56,25.13,25.403,7.596,15.736,55.938,32.241,26.554,20.421,13.508,11.622,17.455,,13.69,20.876,23.923,21.983,,21.709,,17.483,30.803,26.066,34.46,,26.686,31.443,23.313,26.847,19.625,28.309,,
2000,,26.066,38.272,42.858,18.005,22.48,16.494,22.249,36.569,48.591,18.384,11.656,30.734,8.489,27.877,45.887,48.98,22.539,11.949,41.284,25.586,51.669,46.846,31.163,44.352,36.783,18.891,18.211,24.302,10.229,16.849,43.198,15.155,12.136,22.301,13.318,23.714,8.609,0.637,26.666,13.243,16.652,41.433,32.731,37.39,54.574,19.247,29.857,13.143,22.909,27.313,16.687,19.978,59.342,36.247,22.846,16.718,23.454,53.707,50.334,31.429,9.447,15.417,46.173,8.618,42.363,23.538,12.343,10.202,22.295,27.429,8.432,23.607,16.869,44.039,42.186,17.372,13.433,22.935,,35.746,44.015,44.174,25.574,28.302,30.034,21.855,18.623,73.204,20.663,5.673,68.168,19.518,16.315,33.711,18.912,36.855,14.226,41.704,31.885,43.701,,15.513,,19.58,25.108,16.749,36.909,65.865,20.643,17.232,17.507,63.818,25.395,24.56,,22.489,19.653,11.701,28.657,,11.351,42.542,38.359,22.718,14.28,28.807,34.399,56.111,49.502,13.24,44.753,23.058,20.287,19.481,19.619,18.108,39.02,39.445,,35.037,31.048,33.724,21.484,30.533,,62.254,36.317,14.887,31.199,40.669,13.268,20.715,39.998,39.698,17.358,,23.664,,38.069,14.424,22.114,22.067,24.804,9.664,17.779,55.4,33.067,26.006,26.904,13.602,11.594,17.554,91.167,11.406,21.35,24.262,21.848,31.256,23.584,,18.95,32.279,32.165,35.177,,25.972,29.868,19.17,32.743,20.548,37.776,22.569,
2001,,25.848,34.991,37.463,17.109,21.602,17.046,21.405,35.721,50.699,38.549,11.681,28.393,8.649,28.065,38.93,49.36,25.034,12.178,39.713,25.135,46.897,38.971,33.063,38.061,36.172,18.113,16.681,24.59,9.986,16.317,41.632,13.265,10.965,22.861,14.729,24.873,10.865,2.985,30.846,13.864,16.778,39.73,33.608,37.719,53.978,17.366,23.076,14.105,20.249,26.792,16.25,28.385,49.915,35.125,22.654,18.678,21.994,51.184,50.339,31.901,7.159,16.567,44.391,10.883,40.52,23.513,12.398,11.694,18.708,27.122,8.026,21.947,13.407,43.052,40.552,16.946,17.745,17.584,,33.468,43.762,44.125,23.677,29.495,30.264,25.654,18.432,93.182,20.065,11.47,71.623,21.341,15.163,32.365,17.913,37.233,10.94,38.234,31.42,44.139,20.304,14.042,,23.863,25.514,15.544,37.925,70.026,21.36,16.442,17.857,58.554,24.299,26.357,,21.549,20.202,9.481,27.822,,12.033,41.646,38.435,19.567,14.99,27.635,31.48,56.089,46.603,13.081,33.83,22.125,19.774,19.589,18.78,18.133,40.059,39.34,,36.505,29.963,34.421,20.266,28.758,,39.28,33.033,15.027,34.17,37.916,13.973,19.41,38.002,40.416,16.959,,24.079,,37.913,14.395,21.375,21.184,24.485,9.099,27.119,53.098,32.423,30.294,18.673,15.203,11.963,19.056,91.208,13.675,22.706,25.839,22.146,32.612,21.814,,19.738,33.645,26.434,34.857,32.263,27.236,27.969,19.008,27.305,21.585,33.276,22.07,
2002,6.845,25.323,35.449,28.681,19.294,20.623,16.744,21.721,35.202,50.566,42.532,9.964,28.468,9.562,27.655,37.201,49.552,25.305,11.954,36.425,24.505,44.561,40.837,34.525,36.812,34.728,16.903,18.688,28.588,10.499,16.404,40.16,15.473,12.587,22.21,15.458,24.696,12.115,4.892,27.337,13.619,17.224,46.971,33.291,38.456,53.199,18.843,24.54,14.035,22.281,24.156,16.9,28.849,46.782,36.26,22.133,19.105,23.795,51.483,49.635,29.447,8.654,16.242,43.997,8.503,39.773,21.849,12.782,11.034,11.779,27.749,8.449,21.793,13.733,41.973,40.056,17.732,16.353,20.434,,32.69,42.922,43.791,24.134,28.521,29.583,22.451,18.505,103.539,19.808,17.547,61.201,23.45,13.77,31.756,20.607,38.068,10.978,49.4,31.375,43.8,20.221,10.163,12.919,23.184,25.566,16.845,37.838,62.929,30.167,17.315,18.464,66.112,24.63,26.295,36.011,23.208,18.246,9.108,28.317,,12.009,40.66,39.22,20.797,16.358,20.724,32.951,54.79,45.176,14.737,35.816,21.27,18.156,16.137,18.245,17.462,40.329,40.4,,39.411,29.488,34.456,21.627,29.72,,33.842,29.957,16.22,40.312,40.055,15.202,18.163,37.051,39.907,13.169,,23.759,,38.211,14.365,25.014,22.32,25.04,9.855,20.241,51.26,32.914,26.451,16.739,16.74,12.883,18.99,78.981,10.982,23.186,24.364,22.633,29.901,18.221,,19.064,36.041,20.095,33.68,29.868,26.634,28.965,18.702,29.508,22.718,30.227,23.072,
2003,9.826,24.674,37.078,29.715,18.757,24.269,15.217,27.336,36.054,48.544,23.267,10.149,27.509,9.804,28.492,38.047,48.954,21.331,12.614,25.615,24.114,46.968,42.216,35.849,38.948,36.044,17.786,21.73,24.54,9.58,15.031,40.149,9.231,13.745,22.052,15.7,25.388,10.714,4.944,30.195,14.197,15.777,45.211,34.478,42.461,53.506,21.728,30.956,12.827,21.306,24.909,17.658,21.534,64.379,36.814,23.07,21.221,22.441,50.673,49.255,29.002,7.57,15.971,44.6,10.88,38.761,25.893,12.531,10.085,13.224,24.966,9.114,21.348,16.389,41.825,41.204,18.195,17.099,21.023,,33.352,41.593,43.906,26.336,28.087,34.736,25.351,19.467,80.397,20.089,19.919,54.348,22.908,12.154,31.361,22.472,39.985,9.184,49.421,30.799,43.687,23.259,15.415,19.774,23.472,22.725,19.627,36.372,64.649,29.111,17.852,20.218,69.458,28.307,25.916,39.178,22.028,18.95,8.52,25.91,,13.254,40.568,40.22,22.18,15.166,21.011,35.928,54.526,45.591,15.951,45.317,20.729,18.426,16.177,18.491,17.552,39.492,40.926,,35.49,29.53,33.914,19.994,28.752,,35.938,34.315,16.679,39.244,48.024,14.35,16.323,37.202,40.362,28.552,,23.642,,37.915,13.637,25.249,21.578,24.805,13.312,20.412,51.624,32.408,29.936,17.772,17.326,13.589,20.264,64.885,13.919,23.108,25.359,21.848,31.13,23.068,,20.098,37.988,22.402,33.654,29.27,27.861,27.281,17.494,32.347,24.934,31.116,21.999,
2004,12.676,24.992,36.024,30.987,20.122,26.996,15.457,20.961,36.282,48.865,25.997,10.53,26.302,9.124,27.108,38.196,48.776,22.742,12.655,34.269,26.801,45.413,40.641,35.338,41.719,36.483,18.072,25.344,28.752,10.303,13.965,39.903,11.338,10.373,22.833,16.22,25.397,10.734,7.017,30.369,13.651,17.237,43.613,34.926,40.174,55.071,23.045,29.576,13.63,22.345,24.356,17.922,24.607,49.402,36.459,26.21,20.498,23.01,50.432,49.394,27.867,10.611,23.075,43.457,12.596,38.787,24.15,12.32,9.135,18.659,27.512,10.296,23.069,19.814,42.105,42.259,18.897,17.573,21.619,56.052,34.475,40.716,43.342,26.808,28.883,36.613,24.55,20.123,85.974,19.291,20.969,56.414,23.565,11.76,32.481,23.482,42.499,11.381,54.047,31.664,42.541,23.844,20.274,22.89,22.531,21.677,19.399,37.962,53.006,26.842,17.936,20.022,55.48,29.496,25.939,37.447,22.905,17.17,8.098,25.419,,13.295,40.803,40.542,22.515,17.185,23.828,34.491,55.311,45.275,13.565,44.146,19.624,21.347,16.605,18.525,17.221,38.568,39.902,,46.589,30.261,34.168,22.923,27.263,19.531,35.523,40.812,18.133,40.892,40.333,15.749,16.125,35.508,40.525,34.66,,24.243,,38.656,13.379,27.193,22.244,23.33,16.668,20.998,51.701,32.193,27.147,16.545,17.932,14.589,20.437,27.252,15.067,23.851,25.256,21.944,30.745,20.259,74.588,20.676,37.203,24.107,34.634,29.487,28.087,26.257,19.314,34.385,24.494,32.01,20.764,
2005,14.733,25.434,40.739,33.697,19.3,27.766,17.895,21.789,36.393,48.613,25.239,11.004,27.837,9.355,27.578,39.581,48.867,23.417,12.615,30.723,30.938,46.464,43.566,36.261,45.328,36.505,17.234,22.587,27.544,11.948,16.798,40.074,11.813,11.442,24.68,16.729,25.947,11.763,9.366,38.798,13.861,17.377,42.955,37.464,39.282,56.197,25.054,31.904,14.741,22.034,23.623,18.229,32.669,45.599,34.873,26.527,18.768,22.203,51.868,49.939,28.745,9.614,24.42,43.501,11.847,39.374,27.466,11.99,9.934,16.573,28.487,13.199,23.577,17.171,41.55,45.749,19.062,17.86,24.475,67.274,34.932,40.808,43.039,26.022,29.635,33.291,28.084,20.042,87.009,19.692,20.919,71.422,25.277,12.792,33.484,22.858,42.101,10.999,60.41,32.919,43.656,24.586,18.462,24.21,21.705,30.743,18.87,39.564,62.006,24.417,17.806,20.623,53.896,32.129,27.548,36.756,25.087,17.427,9.14,26.511,,14.023,41.023,42.144,22.983,18.184,22.72,32.704,56.296,47.792,13.124,41.948,20.744,23.411,15.787,19.943,17.838,40.433,40.508,,39.71,31.611,37.017,23.954,31.605,20.892,70.478,46.138,18.376,40.861,39.402,16.098,14.934,36.892,41.136,33.75,,28.058,,39.525,14.691,31.242,21.538,23.59,17.874,20.146,53.133,32.223,23.768,18.343,20.084,15.038,20.971,12.193,15.626,25.487,30.373,21.451,31.669,20.475,73.071,18.556,41.917,31.731,35.009,30.862,28.362,25.114,20.151,37.625,24.977,34.947,20.079,10.409
2006,18.946,25.928,42.814,40.027,21.863,28.267,18.05,22.702,36.416,47.815,25.962,12.212,26.453,9.559,25.817,40.847,48.67,24.686,12.859,35.038,34.304,47.819,45.272,35.665,47.67,35.983,40.854,26.55,28.277,12.78,43.949,40.489,21.954,16.152,26.066,17.07,27.522,10.948,10.113,44.427,14.178,18.56,43.07,38.085,39.185,54.817,24.13,32.619,15.218,24.065,27.186,19.237,39.888,34.993,36.367,35.182,18.279,21.648,52.272,50.432,29.807,10.828,26.669,43.582,12.099,39.171,27.135,12.727,11.035,16.324,29.727,13.851,23.038,18.84,42.121,46.526,20.338,18.868,24.588,61.04,36.638,41.762,44.106,26.062,30.584,32.353,27.452,19.329,71.178,20.494,23.062,63.809,27.034,13.236,33.41,25.53,52.348,14.634,62.961,33.287,41.596,24.569,20.962,28.423,22.972,30.277,49.854,39.804,59.938,27.128,17.024,21.287,54.864,33.227,33.778,46.854,26.167,19.919,10.328,28.73,,13.009,42.234,42.338,22.39,60.087,21.076,30.945,58.245,48.374,13.776,46.098,23.176,24.782,16.902,21.191,19.048,41.106,40.911,,37.363,32.497,36.806,21.364,27.942,19.296,49.724,48.092,17.38,41.43,41.013,15.082,14.44,35.17,41.178,37.587,,28.504,,40.484,15.102,31.268,21.267,24.17,17.5,24.415,52.245,31.906,25.214,17.222,23.622,14.234,20.777,17.223,17.247,27.603,34.275,21.522,33.619,20.202,65.428,16.942,43.222,35.777,35.178,31.661,28.566,28.069,20.59,37.662,26.326,38.555,36.604,6.392
2007,18.986,26.13,39.834,42.44,21.368,30.308,20.085,22.088,35.86,47.859,28.405,12.875,24.937,9.299,26.284,42.757,48.315,28.914,16.031,35.689,34.393,46.724,41.512,34.906,32.432,36.218,20.046,36.455,28.562,15.13,18.523,40.339,13.915,19.586,27.104,18.13,27.406,11.884,10.188,44.316,15.233,19.979,43.017,40.792,39.721,54.612,24.709,35.862,16.378,26.723,26.362,19.782,36.849,31.376,36.465,31.805,16.954,21.689,51.928,49.929,27.451,11.469,29.259,43.659,12.765,40.362,21.756,12.84,9.937,16.119,28.27,15.526,24.195,21.268,44.753,45.457,21.962,17.782,25.394,53.96,36.199,40.911,45.326,27.55,30.798,32.314,28.839,19.677,67.455,21.659,25.947,67.491,30.872,13.985,33.695,24.22,53.267,18.029,62.28,33.449,41.957,29.128,15.996,28.259,23.318,31.502,18.705,38.998,65.854,23.664,17.682,22.056,55.768,35.711,37.939,52.289,28.477,21.619,10.986,31.013,,14.182,41.453,40.536,22.805,22.188,17.018,32.026,57.972,47.298,14.364,47.319,25.823,24.921,15.708,21.942,18.692,41.355,41.474,,38.726,31.519,37.489,21.896,32.434,22.478,164.054,41.237,18.953,41.363,31.967,33.043,16.135,34.39,39.934,46.294,,28.531,,40.951,14.541,29.3,21.754,25.077,16.741,29.549,51.726,31.486,22.717,16.743,22.462,16.401,20.219,8.647,16.75,27.028,30.018,21.873,31.778,17.349,73.943,16.111,41.691,34.778,35.341,31.701,29.014,29.042,22.293,33.134,26.102,33.166,18.886,2.59
2008,17.036,26.842,47.566,48.431,21.05,31.114,20.479,27.778,34.01,48.35,48.633,13.47,27.903,9.793,27.602,50.761,49.178,29.252,14.509,35.158,38.902,45.512,39.767,35.899,63.09,36.229,16.829,38.458,28.7,15.885,18.722,38.96,14.796,22.409,25.747,22.369,26.931,13.664,11.194,54.802,15.457,19.877,42.534,39.091,38.657,53.585,29.472,35.441,15.036,35.796,26.639,19.73,34.506,31.417,36.813,33.986,15.874,23.075,52.443,50.033,29.923,11.097,30.69,44.083,11.845,40.669,24.18,12.025,10.459,23.066,27.675,15.067,26.142,18.877,44.85,41.645,19.708,19.448,21.873,56.399,34.825,38.438,45.199,27.289,30.433,30.077,28.295,19.447,66.237,21.366,24.291,60.561,29.808,14.196,33.464,24.378,57.184,18.767,80.688,33.771,43.016,33.34,15.938,28.075,23.515,25.499,16.899,38.454,64.179,21.303,20.041,27.02,57.789,33.851,33.107,48.803,31.255,21.803,10.547,31.304,,14.942,42.539,39.88,21.474,24.133,20.077,32.833,58.317,46.122,14.383,42.843,23.908,22.488,15.07,22.222,18.664,40.695,41.516,,33.042,30.667,36.523,24.495,28.036,22.208,44.095,56.482,17.239,40.961,34.871,12.695,17.564,34.509,40.445,46.528,,28.136,,36.735,13.599,28.264,23.897,28.474,20.203,24.513,50.824,32.367,20.065,16.969,22.12,16.32,20.027,15.327,16.257,27.967,33.9,24.179,31.804,20.867,71.636,14.209,43.974,39.587,35.329,30.656,27.261,33.204,26.975,31.418,26.579,36.715,18.79,1.983
2009,19.391,26.093,36.792,37.11,18.434,32.694,20.867,24.79,33.254,48.785,40.359,12.914,20.052,9.459,25.924,44.471,48.767,26.19,14.756,40.431,35.834,43.666,37.819,33.943,38.445,33.004,19.523,32.843,27.614,15.619,15.677,39.539,15.455,14.935,20.63,23.751,27.018,14.022,13.395,30.269,13.488,18.5,42.299,36.459,38.75,53.738,27.143,35.599,13.231,29.396,26.331,18.607,33.373,22.78,43.666,29.965,16.181,22.428,52.23,49.977,29.368,12.706,29.27,45.05,12.281,38.937,22.755,11.052,11.357,24.971,29.307,16.829,23.487,18.818,45.766,37.913,18.518,15.382,20.69,46.18,33.214,35.604,45.91,27.541,29.319,26.467,22.142,18.794,69.974,20.366,28.289,69.701,32.919,17.008,35.784,23.936,57.49,22.184,65.609,34.321,44.469,33.052,11.525,26.911,25.009,19.057,19.097,38.644,63.053,20.652,21.441,23.67,65.445,32.426,30.255,44.627,28.653,23.989,9.438,30.801,68.702,16.817,41.663,38.501,21.264,18.618,10.105,30.934,55.76,37.934,14.227,41.608,22.611,19.169,14.825,20.011,17.396,37.79,40.425,,47.406,29.455,32.674,23.505,30.092,22.377,32.68,31.682,17.276,39.344,36.956,15.141,15.761,36.28,39.741,55.222,,26.507,,34.828,13.112,30.192,23.382,29.817,14.959,27.893,50.351,32.721,23.85,16.307,23.415,15.466,19.508,23.777,16.297,28.512,28.515,23.13,32.28,20.427,88.92,13.165,42.352,28.87,33.998,28.285,28.147,29.97,25.952,24.584,25.585,25.004,15.75,9.659
2010,21.722,25.867,37.212,42.789,22.287,31.965,21.221,27.668,31.909,48.382,45.789,12.975,22.714,10.024,24.977,40.132,49.34,26.798,13.8,46.353,33.166,45.435,34.186,36.087,43.79,30.833,19.791,37.207,28.635,17.108,14.983,38.326,15.912,20.203,22.989,24.6,26.18,17.471,14.919,41.194,13.223,18.147,41.683,37.322,39.325,53.963,25.605,36.045,13.07,33.324,23.911,19.902,26.646,25.928,40.299,21.087,17.162,22.818,52.145,49.995,25.789,11.627,28.28,43.763,12.491,41.281,24.633,11.236,10.837,20.269,28.192,19.95,23.092,20.729,44.836,38.329,18.821,15.644,21.034,45.396,33.022,36.755,45.679,26.842,29.015,24.856,23.943,19.801,72,20.095,26.443,70.703,31.16,20.933,36.544,21.699,43.15,25.798,70.391,34.309,43.468,36.687,13.173,31.817,22.285,19.593,17.694,38.67,60.029,21.893,20.507,23.699,67.705,31.918,32.001,41.777,26.814,26.09,8.851,27.855,74.093,18.002,41.794,37.551,22.459,18.209,12.421,30.1,55.308,40.479,14.325,46.708,23.157,21.456,15.311,21.075,16.802,38.465,40.72,,37.391,31.924,32.278,24.282,34.02,22.125,38.236,37.403,17.641,39.372,35.097,15.218,15.915,34.66,40.683,62.661,,26.42,,36.246,13.006,27.692,22.942,28.933,17.462,22.35,49.037,32.402,20.848,14.984,23.16,15.259,20.725,22.381,18.583,26.482,31.657,24.694,32.677,15.801,72.309,13.164,43.378,32.781,35.192,28.885,29.47,30.357,24.602,26.359,27.26,26.145,15.634,18.709
2011,21.265,25.407,40.019,45.483,20.364,32.156,22.088,21.491,31.814,48.315,44.594,14.212,26.272,10.362,27.448,37.489,50.324,27.619,13.746,35.786,36.187,43.691,36.296,35.109,55.341,30.257,20.696,38.696,25.632,15.9,16.255,38.267,12.023,24.759,24.226,26.914,26.806,14.078,13,46.424,13.427,14.248,40.638,36.66,40.31,54.374,24.112,30.815,12.897,39.343,20.948,19.889,28.327,26.749,38.213,20.641,16.621,24.004,53.34,51.136,23.483,13.53,28.222,44.357,14.107,43.807,23.611,11.638,15.106,16.791,27.619,21.979,22.969,22.395,44.109,38.818,19.291,17.01,18.913,48.114,33.818,36.764,45.701,25.575,29.977,26.306,27.045,19.455,68.267,20.692,27.104,72.34,32.663,18.76,35.64,22.791,41.611,25.04,42.414,32.561,42.879,40.001,11.675,21.945,23.52,23.13,17.145,38.854,56.977,22.313,20.321,24.381,64.824,30.513,33.918,38.545,27.223,27.347,9.509,29.991,47.244,17.827,41.528,37.342,23.474,17.93,17.729,29.382,56.598,48.69,12.619,45.166,22.4,21.903,17.318,21.754,17.598,39.053,42.651,,35.825,32.466,34.658,24.682,30.759,21.327,39.682,44.397,18.237,37.731,39.764,16.963,17.623,36.54,40.429,56.119,,26.8,25.646,36.188,13.617,32.58,23.462,27.318,15.906,25.021,48.232,32.684,,16.113,24.885,15.36,21.108,19.829,19.227,26.747,29.713,25.94,32.684,18.265,70.09,14.504,42.939,36.487,35.738,29.192,28.36,31.519,22.299,31.117,25.879,25.333,17.744,21.073
2012,25.21,24.789,39.109,41.34,19.968,33.803,20.92,22.5,33.071,49.024,40.342,13.917,26.407,11.246,26.555,39.252,51.631,26.765,14.02,35.796,37.795,44.241,36.685,34.704,46.777,32.32,22.393,33.75,24.402,17.155,16.326,38.402,14.85,24.352,23.781,27.757,28.306,16.82,15.486,49.096,13.342,19.166,42.527,36.354,40.55,54.464,24.454,30.643,13.557,39.317,20.831,19.907,27.961,28.108,38.795,29.567,15.476,24.178,54.02,52.126,30.154,16.296,28.81,44.927,13.733,46.202,20.803,11.622,17.531,11.511,26.601,23.844,22.873,21.437,46.133,40.221,19.814,17.249,13.946,46.986,34.005,35.997,47.869,25.731,30.76,22.69,26.343,19.144,85.388,21.157,26.129,71.242,34.722,22.376,37.353,21.689,52.181,27.438,74.248,32.069,44.415,39.316,10.83,27.147,25.403,22.753,14.575,39.227,50.792,30.007,20.406,24.488,66.201,31.737,29.816,39.864,28.039,26.964,15.475,30.792,59.817,17.963,42.024,37.454,23.935,21.431,14.296,29.459,56.162,48.718,13.025,45.018,22.173,21.227,17.471,22.369,18.613,39.148,42.894,,41.509,32.531,34.442,22.862,30.155,23.497,34.992,45.166,18.615,38.771,41.491,15.175,17.163,36.285,41.373,52.459,,26.942,16.808,37.635,12.225,33.141,22.444,25.853,9.113,26.431,48.677,32.564,,15.805,25.134,15.442,21.305,15.788,20.214,30.247,29.759,24.631,32.577,22.193,89.273,13.505,44.665,38.147,35.719,29.215,27.825,32.479,21.769,29.838,22.599,29.903,18.694,21.211
2013,24.346,23.977,35.786,36.746,18.927,34.349,22.204,24.747,33.683,49.698,39.423,12.729,24.603,11.229,24.929,39.831,52.697,28.595,13.529,30.228,39.087,43.241,37.6,34.493,46.608,33.878,24.418,31.351,24.535,18.75,16.317,38.466,7.464,20.74,22.587,27.703,27.809,25.315,14.624,50.631,13.595,19.679,42.37,36.734,41.355,54.585,22.586,30.353,14.218,39.167,21.694,20.368,24.87,25.105,38.079,28.505,15.825,24.486,54.905,53.144,31.605,12.114,27.512,44.984,12.64,47.95,20.866,11.643,14.765,11.396,26.85,20.95,23.846,21.043,46.747,40.62,19.6,16.864,13.48,42.187,34.278,36.294,48.142,27.147,31.575,23.805,24.754,19.7,97.8,20.524,24.639,72.26,34.448,20.209,36.707,20.097,52.292,27.091,82.98,32.094,44.298,38.249,10.897,28.276,24.302,22.974,17.387,39.52,53.084,24.924,20.465,24.07,62.638,30.877,31.224,41.336,27.845,31.402,20.844,31.136,70.783,19.63,42.767,37.247,23.492,24.638,11.047,27.833,54.134,49.532,13.452,41.192,21.813,20.74,16.56,22.292,18.847,38.482,45.038,,49.852,31.479,33.482,25.531,33.744,22.419,33.446,41.166,17.711,37.318,38.161,13.264,16.876,38.721,40.402,50.948,2.847,27.326,21.865,38.573,12.023,42.38,22.74,25.091,9.563,25.203,49.095,32.702,,16.136,26.939,15.033,22.151,20.242,21.462,35.403,30.6,24.999,32.724,18.406,112.81,12.716,43.325,38.722,36.107,31.404,29.571,29.069,21.433,28.402,23.082,23.9,17.629,20.3
2014,23.684,26.272,33.305,30.736,20.14,34.601,22.048,23.57,33.911,49.596,39.117,13.511,26.842,10.92,25.604,38.929,52.176,29.166,12.574,33.628,39.893,43.397,38.349,32.495,37.664,33.585,21.588,28.143,22.875,20.076,16.612,38.545,14.081,17.796,22.263,28.057,27.541,14.2,18.473,48.074,13.315,18.862,42.943,39.793,40.335,56.362,22.172,27.078,14.247,38.37,24.387,20.005,24.057,21.477,38.304,28.777,14.901,25.097,54.898,53.309,29.735,15.046,28.007,44.883,13.43,46.119,24.494,11.502,16.971,22.086,25.78,18.937,24.741,20.845,46.851,43.741,19.149,16.461,14.27,38.152,33.931,36.537,47.857,26.254,33.253,27.489,23.742,19.76,151.8,20.155,23.963,66.645,35.552,21.855,36.128,22.523,50.039,29.208,69.305,33.363,43.282,36.961,12.43,24.986,23.329,26.448,17.131,39.325,52.646,24.959,19.87,23.436,65.652,31.807,28.418,43.511,28.026,31.801,22.462,33.661,99.185,20.376,42.774,37.199,23.316,23.01,10.522,27.519,53.914,46.276,15.243,43.844,20.138,20.785,17.455,22.39,18.955,38.711,44.608,19.442,47.741,32.055,33.856,24.238,37.998,24.796,25.116,36.672,19.204,38.955,37.458,14.039,17.179,39.333,41.17,47.297,3.665,27.589,27.149,38.878,11.626,43,22.637,29.248,8.792,24.099,48.017,32.441,,15.571,28.395,14.377,21.385,26.306,20.663,36.375,30.603,25.933,31.803,17.898,103.787,13.417,40.314,35.038,35.195,31.433,28.906,28.275,23.493,34.566,22.239,23.644,18.895,20.028
2015,24.569,26.322,30.544,24.134,24.104,35.366,21.494,26.307,34.541,49.982,33.866,15.014,18.163,9.794,25.911,38.806,51.342,28.376,12.6,28.791,37.686,43.246,31.193,28.231,24.154,34.944,20.738,21.866,26.892,19.626,16.479,39.956,13.375,13.96,22.808,28.535,26.02,21.303,16.826,32.647,13.639,19.988,45.157,38.983,41.084,53.198,26.281,44.301,16.648,33.56,22.03,20.036,26.474,28.432,39.451,27.479,15.379,26.028,54.288,53.172,21.136,14.203,28.1,44.986,14.869,47.824,24.461,10.834,14.81,20.164,28.099,19.17,25.241,18.622,48.183,40.584,19.854,14.875,16.122,30.619,27.01,36.723,47.653,26.998,34.214,24.731,16.611,19.105,149.408,20.26,25.059,59.999,35.552,20.212,36.244,19.158,47.789,31.819,51.218,34.111,43.339,31.533,11.879,24.722,22.162,27.085,19.117,38.462,59.825,29.415,20.813,23.527,66.332,29.962,25.846,40.42,26.532,28.052,21.425,33.525,109.513,20.761,41.778,37.639,23.895,23.347,7.564,28.747,54.199,34.931,14.517,40.968,19.698,18.296,18.667,20.277,19.377,38.967,43.82,19.397,46.779,32.809,31.884,24.64,35.067,22.969,27.956,24.972,19.284,39.305,34.221,16.192,17.306,42.529,40.445,47.944,3.487,28.152,18.001,38.453,13.341,39.911,23.113,26.63,8.414,23.241,48.317,33.496,,15.875,29.944,13.982,22.315,33.351,21.826,37.92,28.624,23.866,32.105,16.616,136.344,15.179,41.884,28.996,35.475,31.585,28.867,25.617,31.914,19.663,23.76,12.262,18.77,19.107
